type	lambda_mu	lambda_sigma	odr_length	p_mu	p_sd	p_min	p_max	p_max_min	spread	r_mu	r_sd	r_kt	r_acf	abs_r_acf	trd_sum	trd_mu	trd_ll_sum	trd_lh_sum	trd_hh_sum	depth_buy_mu	depth_buy_min	depth_buy_q1	depth_buy_q2	depth_buy_q3	depth_buy_max	depth_sell_mu	depth_sell_min	depth_sell_q1	depth_sell_q2	depth_sell_q3	depth_sell_max	pos_r_max	neg_r_max	hft_asset_mu	hft_asset_sd	hft_freq_mu	hft_s_mean	hft_s_sd	hft_s_min	hft_s_max	hft_pos_s_mu	hft_neg_s_mu	lft_bodr_vol_sum	lft_sodr_vol_sum	lft_p_mean	lft_p_stdev	lft_p_min	lft_p_max	lft_p_max_min
ST	NA	NA	0	99.56369652	3.106518753	92.521	107.77675	1.55E+01	1.500878737	-8.14E-07	0.01338641	2.041356312	-0.435794274	0.331893072	34967.5	5.701941478	34967.5	0	0	1503.5	428	1098.5	1485.5	1939.5	2487	1491.5	361.5	1111	1496.5	1906	2547	0.058049016	0.058714629	NA	NA	NA	NA	NA	NA	NA	NA	NA	45332.5	45562	99.52977964	4.325384391	83.2915	118.8865	35.11475
SMM	0.1	0	0	99.57703446	2.839749355	93.7315	105.91675	1.30E+01	0.668131681	-1.64E-06	0.003566164	12.58383059	-0.409432669	0.403588261	43490.5	4.673281705	20138	23334	33.5	2334.5	406.5	1708	2325.5	3029.5	3969	2456.5	487.5	1689.5	2519.5	3150	4192	0.030917782	0.031800033	224.9753688	208.2579114	0.1	1.775	38.43935868	-112	115	32.42206127	-31.76773865	45239.5	45825	99.54140968	4.177445693	83.65875	117.53475	33.80275
SMM	0.2	0	0	99.57288627	2.80911269	93.99815	105.70265	1.23E+01	0.460902446	-5.50E-07	0.001648983	34.83535933	-0.296599993	0.322184965	45447	4.653339239	16249	28979.5	183	2667	426.5	1877	2753.5	3427	4468	2796	455.5	1951	2819.5	3512	4787	0.02204575	0.021151979	-514.5980807	190.9785252	0.2	3.4425	59.63673666	-165	162	51.15132514	-50.17596488	45500	45947	99.5423354	4.173546114	84.37325	118.06075	33.65425
SMM	0.3	0	0	99.60810051	2.814622691	93.98075	105.3544	1.21E+01	0.422324536	-5.77E-07	0.001144587	65.52935926	-0.156598781	0.185646966	45866.5	4.677192385	15257	30140	376	2679	474	1900	2729	3430.5	4436	2730.5	509.5	1902	2822	3593	4692	0.017621286	0.018570973	-814.7202094	180.4382683	0.3	1.397	66.82134317	-172	181	57.92231628	-56.54126871	45274	45663	99.54891307	4.200849959	83.51625	117.7575	34.3195
SMM	0.4	0	0	99.56858636	2.864373805	94.21785	105.4639	1.24E+01	0.413145377	-6.58E-07	0.001010842	80.37707877	-0.057470907	0.096647717	46322	4.748504966	15299.5	30430	567.5	2641	512	1864.5	2747	3529.5	4555.5	2784	479.5	2041.5	2825	3577	4665.5	0.018049304	0.018242978	-847.7458861	174.6139683	0.4	2.8025	70.83356025	-184	187	60.62980599	-61.32588668	45458	45396	99.53642252	4.215139099	83.81175	118.28875	35.02425
SMM	0.5	0	0	99.58920488	2.823654361	94.37955	105.2133	1.15E+01	0.318763307	-5.67E-07	0.000731328	105.3038892	-0.019631024	0.06337659	47770	4.684655273	13354	33266	1231	2858	523.5	2034.5	2945.5	3665	4715.5	2906.5	463.5	2117	2963	3753	4872	0.014177869	0.013801946	-1443.609651	161.0154406	0.5	4.5915	78.66204552	-196.5	201	68.59194258	-65.95447483	45323	45305.5	99.54374686	4.169231416	84.42825	116.86325	32.72675
SMM	0.6	0	0	99.60032568	2.828596732	94.22865	105.3473	1.23E+01	0.464665991	-1.14E-06	0.001218119	73.1257749	-0.026616789	0.053109883	46051	4.842106004	16284.5	28815.5	884	2559	446	1797	2633.5	3294.5	4457.5	2674	492	1947	2730.5	3430.5	4554	0.020931485	0.019799947	-728.2877144	173.8178584	0.6	2.174	63.67931555	-170.5	169.5	56.046873	-54.44058472	45134	45724.5	99.58835779	4.188345255	83.431	118.62975	35.46325
SMM	0.7	0	0	99.63229275	2.858012548	94.0403	105.3233	1.18E+01	0.39790824	-7.76E-07	0.000978313	93.85257221	-0.024001821	0.05088277	47334	4.807440026	15117.5	30824	1319.5	2651.5	482	1919	2697	3486	4699.5	2778.5	456	1963	2842	3546	4417	0.018556783	0.017613507	-1026.152646	164.4651856	0.7	4.312	69.79828352	-180	185	58.97969092	-60.81995093	45637	46050.5	99.57908659	4.202885319	84.346	118.7615	33.9515
SMM	0.8	0	0	99.61153619	2.795827915	9.43E+01	105.07425	1.18E+01	0.332137177	-6.00E-07	0.000796016	105.7924766	-0.01867001	0.04569612	49028.5	4.753823225	13754	32767.5	2445.5	2751	428.5	1985.5	2807	3628	4757.5	2799.5	448.5	2057.5	2835	3645.5	4738	0.015024269	0.015478672	-1395.455646	160.4433094	0.8	1.5315	77.92699462	-196.5	198.5	67.83024413	-67.8820143	45675	45602.5	99.59956759	4.201191578	84.2485	118.2595	33.28
SMM	0.9	0	0	99.59740204	2.835188105	9.47E+01	105.01935	12.04725	0.286896044	-8.16E-07	0.000711623	130.3570561	-0.004351793	0.038512128	50722.5	4.724737757	12899.5	34174	3579	2868	463	2005	2876.5	3629	4773	2885.5	492	2056	3009.5	3707	4881.5	0.015471471	0.015303803	-1727.640077	151.794195	0.9	2.0975	79.79090792	-198	199.5	69.15127572	-70.62678434	45696.5	45695	99.55472847	4.192756418	84.353	117.70025	33.84125
