type	lambda_mu	lambda_sigma	odr_length	p_mu	p_sd	p_min	p_max	p_max_min	spread	r_mu	r_sd	r_kt	r_acf	abs_r_acf	trd_sum	trd_mu	trd_ll_sum	trd_lh_sum	trd_hh_sum	depth_buy_mu	depth_buy_min	depth_buy_q1	depth_buy_q2	depth_buy_q3	depth_buy_max	depth_sell_mu	depth_sell_min	depth_sell_q1	depth_sell_q2	depth_sell_q3	depth_sell_max	pos_r_max	neg_r_max	hft_asset_mu	hft_asset_sd	hft_freq_mu	hft_s_mean	hft_s_sd	hft_s_min	hft_s_max	hft_pos_s_mu	hft_neg_s_mu	lft_bodr_vol_sum	lft_sodr_vol_sum	lft_p_mean	lft_p_stdev	lft_p_min	lft_p_max	lft_p_max_min
SMM	1	0	0	99.58267879	2.833385072	9.45E+01	105.4925	11.98535	0.258173186	-5.70E-07	0.000621959	130.3594721	-0.001170828	0.040781523	53053.5	4.697011184	12048.5	35663.5	5282	2883.5	440.5	2038.5	2924	3764	4821.5	2954	476	2086.5	3012.5	3817.5	4879.5	0.012840638	0.012377958	-1883.575862	140.2170752	1	5.687	85.88375078	-210.5	206	75.04906544	-76.34765043	45083.5	45564.5	99.53780284	4.215674383	83.356	118.498	34.5515
																																																	
																																																	
PMM	0.1	0	0	99.56474325	2.828171136	93.522	106.49725	13.30285	0.736005751	-1.42E-06	0.00404438	11.52260974	-0.402463095	0.396684174	42581	4.690670359	21831	20741	15	2158	473.5	1622	2212	2865.5	3842	2393	470.5	1671	2502	3057	3851.5	0.033661074	0.033432889	190.1878015	125.5479327	0.1	-2.7175	21.66003065	-74	71	17.5150826	-17.4340217	45089	45719	99.57381931	4.250828019	83.609	117.25375	34.607
PMM	0.2	0	0	99.56670411	2.820009022	93.89625	105.8135	12.37675	0.535972386	-8.19E-07	0.002043638	30.11097214	-0.278891808	0.298653525	44534	4.67026317	18603	25752	144.5	2376	531.5	1748	2421.5	3094.5	4170.5	2482.5	536.5	1749.5	2595	3209.5	4137.5	0.025461386	0.025497441	-166.2647446	95.51546832	0.2	-3.2865	25.16163551	-77.5	77	20.61404621	-20.90008256	45411.5	45973	99.54120147	4.198377943	83.787	118.3315	34.62175
PMM	0.3	0	0	99.55273373	2.856430067	93.7505	105.60465	12.21535	0.511300422	-1.19E-06	0.001567951	47.92694859	-0.141095949	0.166283485	44967	4.736760844	18260	26396.5	299	2444.5	549	1808.5	2471	3152	4155	2567	508	1785.5	2585.5	3311.5	4330	0.022307478	0.024223026	-260.9813015	83.78070297	0.3	-3.8745	24.45430343	-73	71	20.50630739	-20.71584463	45223	45862	99.5505939	4.226899423	84.51475	118.25325	33.379
PMM	0.4	0	0	99.55613398	2.830321403	93.77925	105.7574	12.4775	0.534909518	-4.81E-07	0.001532736	56.93190109	-0.063551159	0.08477918	44971.5	4.819572623	18777	25718	318.5	2362.5	479.5	1752.5	2414	3035	4062	2495.5	492.5	1825.5	2520	3232	4240.5	0.024032143	0.023492768	-240.4322668	80.16533317	0.4	-4.7235	22.43597	-67	66.5	18.82007795	-18.40487945	45619	46131	99.57763065	4.182445172	84.5475	118.01975	34.48025
PMM	0.5	0	0	99.51980462	2.814762627	93.9784	105.58315	12.114	0.40456923	-1.30E-06	0.001067046	77.27338024	-0.031025002	0.05877223	47942.5	4.69686451	16090	30175	1574	2511.5	441.5	1834.5	2553	3245.5	4304	2632	495	1928.5	2661	3307	4511	0.018657606	0.018179605	-532.2651752	69.46726436	0.5	-2.149	26.52036427	-69	68	23.29065014	-22.45827929	45489.5	45927.5	99.53804006	4.215175712	84.349	118.5265	34.48075
PMM	0.6	0	0	99.57181168	2.876144539	93.68665	105.91875	12.63925	0.670513251	-6.20E-07	0.00204342	42.22759466	-0.037064871	0.041766349	43384	4.955172996	20907	22367	151.5	2228	509	1570.5	2310.5	2928	3755.5	2291	506.5	1662.5	2283.5	2865.5	3979	0.027406354	0.028137199	-69.37452871	80.4808604	0.6	-6.2725	16.31700272	-56	54	13.25040494	-14.9826732	45106.5	45646.5	99.56911007	4.219041165	83.98575	118.57175	34.31925
PMM	0.7	0	0	99.5480296	2.85610812	93.7099	105.51825	12.33905	0.571083037	-1.06E-06	0.001660068	54.26027744	-0.027310717	0.039056784	44777.5	4.895244495	19355	24814.5	507.5	2347.5	462.5	1693	2402	2981.5	3910	2452.5	586	1717	2459	3116.5	4078.5	0.025780612	0.024226678	-182.321953	75.44544752	0.7	-5.6705	18.61562704	-58.5	54	15.12943592	-16.31659903	44983	45746.5	99.54020299	4.248133235	83.85375	118.323	34.29125
PMM	0.8	0	0	99.55303445	2.833389837	93.9998	105.85965	12.1934	0.471926909	-4.57E-07	0.001321305	65.37858851	-0.018446829	0.033420852	47296.5	4.800860705	17303.5	28144	1699.5	2397	514	1771	2403	3121.5	4119	2507.5	523.5	1828	2629	3231.5	4220	0.022427979	0.021383612	-352.2258446	71.51204158	0.8	-4.189	21.98151389	-61	58	18.80744327	-19.52466349	45235	45477.5	99.55614679	4.200133952	84.21375	119.38625	34.8145
PMM	0.9	0	0	99.57525629	2.854713616	93.92425	105.84415	11.85865	0.426834537	-4.66E-07	0.001126536	73.94562057	-0.015791885	0.040339734	49482	4.743159582	16141.5	30208.5	3127	2536.5	506.5	1888.5	2536	3132	4352	2586	546	1889	2722	3427.5	4351.5	0.018924824	0.018997848	-436.7530856	63.46013119	0.9	-4.254	23.63742726	-60	59	20.61424535	-20.4920068	45367	45915.5	99.57567619	4.22845982	84.3475	118.1905	33.66925
PMM	1	0	0	99.52100147	2.838765606	94.08165	105.457	11.8875	0.363187104	-1.16E-06	0.000946358	82.8821728	-0.011451178	0.03166901	53976.5	4.661023464	14531	33035.5	6561	2537.5	529	1889.5	2606.5	3266	4321.5	2678.5	529.5	1885.5	2794.5	3456	4472	0.016176471	0.01709348	-556.2640817	58.15899703	1	-2.5155	25.92969354	-62	61	22.80211569	-23.0552163	45319.5	45828	99.52832406	4.205567146	83.35925	118.4125	35.8225
