type	lambda_mu	lambda_sigma	odr_length	p_mu	p_sd	p_min	p_max	p_max_min	spread	r_mu	r_sd	r_kt	r_acf	abs_r_acf	trd_sum	trd_mu	trd_ll_sum	trd_lh_sum	trd_hh_sum	depth_buy_mu	depth_buy_min	depth_buy_q1	depth_buy_q2	depth_buy_q3	depth_buy_max	depth_sell_mu	depth_sell_min	depth_sell_q1	depth_sell_q2	depth_sell_q3	depth_sell_max	pos_r_max	neg_r_max	hft_asset_mu	hft_asset_sd	hft_freq_mu	hft_s_mean	hft_s_sd	hft_s_min	hft_s_max	hft_pos_s_mu	hft_neg_s_mu	lft_bodr_vol_sum	lft_sodr_vol_sum	lft_p_mean	lft_p_stdev	lft_p_min	lft_p_max	lft_p_max_min
ST	0	0	NA																																														
SMM	1	0	0	99.58267879	2.833385072	9.45E+01	105.4925	11.98535	0.258173186	-5.70E-07	0.000621959	130.3594721	-0.001170828	0.040781523	53053.5	4.697011184	12048.5	35663.5	5282	2883.5	440.5	2038.5	2924	3764	4821.5	2954	476	2086.5	3012.5	3817.5	4879.5	0.012840638	0.012377958	-1883.575862	140.2170752	1	5.687	85.88375078	-210.5	206	75.04906544	-76.34765043	45083.5	45564.5	99.53780284	4.215674383	83.356	118.498	34.5515
SMM	1	0	10	99.53255266	3.105937638	94.139	105.4855	12.0262	8.73E-02	-5.35E-07	2.62E-04	403.462993	0.036476206	0.038324758	101184.5	4.413192217	6405	46151.5	48607.5	3081	416	2245	3050	3911.5	5131.5	3110	415	2287.5	3130.5	4033	5174	0.007610354	0.007764753	-5024.674502	139.4787559	1	0.66535	96.93939031	-248	245	81.13953402	-83.02192825	45563	45226.5	99.58078978	4.275340103	83.5875	119.17525	35.183
SMM	1	0	20																																														
SMM	1	0	50	99.63146185	3.189979941	94.26515	1.06E+02	12.37115	0.076442057	-1.06E-06	2.48E-04	356.5460901	0.04987386	0.056841805	127286.5	4.356055533	5892	47561.5	72724.5	3483	538	2333.5	3519.5	4717.5	6804.5	3579	444	2395.5	3585	4744	6847.5	0.00683344	0.006850321	-6076.726691	138.5424649	1	0.5497	98.15282279	-250	249	81.773706	-82.06580362	45557.5	45804.5	99.53777736	4.277552931	84.29025	118.732	33.767
PMM	1	0	0	99.52100147	2.838765606	94.08165	105.457	11.8875	0.363187104	-1.16E-06	0.000946358	82.8821728	-0.011451178	0.03166901	53976.5	4.661023464	14531	33035.5	6561	2537.5	529	1889.5	2606.5	3266	4321.5	2678.5	529.5	1885.5	2794.5	3456	4472	0.016176471	0.01709348	-556.2640817	58.15899703	1	-2.5155	25.92969354	-62	61	22.80211569	-23.0552163	45319.5	45828	99.52832406	4.205567146	83.35925	118.4125	35.8225
PMM	1	0	10	99.55453922	2.887368017	94.0895	1.05E+02	11.69775	0.034378486	-1.25E-06	0.000254203	454.0263067	0.102561823	0.108187267	160126.5	3.896944025	3760.5	52756	103800	2978	524	2121	2992.5	3770	4952	2973	568.5	2172.5	3011.5	3766.5	4995	0.008389383	0.007020138	-2172.589575	60.76989406	1	1.732	36.9640451	-95	96	31.3783339	-36.57522595	45567.5	45937.5	99.56652042	4.216186567	84.65925	117.6015	33.7205
PMM	1	0	20																																														
PMM	1	0	50	99.56655593	2.859711694	94.2635	105.19625	11.25765	0.006416185	-4.20E-07	0.00017403	458.3266094	0.382121863	0.350286296	183620.5	3.64031847	2923.5	53951	126950.5	3185.5	551	2390.5	3216.5	4005	5716.5	3330	620.5	2549	3395.5	4110	5600.5	0.004607197	0.005103347	-2782.633545	75.12277673	1	-0.25715	39.28362711	-121	112	32.03565622	-38.70555726	45289	45922	99.56826764	4.22187268	83.9235	118.86925	35.49175
